time,flux,frequency,flux_err
9.21,3.37e-07,2.418e+17,1.46e-07
9.21,3.87e-07,2.418e+17,1.01e-07
15.39,3.94e-07,2.418e+17,1.24e-07
15.39,4.24e-07,2.418e+17,1.88e-07
15.94,4.01e-07,2.418e+17,1.31e-07
16.42,0.0187,3000000000.0,0.0063
17.39,0.0151,3000000000.0,0.0039
18.33,0.0145,3000000000.0,0.0037
22.36,0.0225,3000000000.0,0.0029
31.22,0.034,3000000000.0,0.0036
31.32,0.034,3000000000.0,0.0036
46.26,0.044,3000000000.0,0.004
54.27,0.048,3000000000.0,0.006
57.22,0.061,3000000000.0,0.009
80.1,0.0374,6000000000.0,0.0042
93.13,0.07,3000000000.0,0.0057
109.39,2e-06,2.418e+17,2.22e-07
109.4,9.46e-05,509000000000000.0,7.259e-06
109.4,0.000112,373000000000000.0,1.8e-05
112.04,0.0577,6000000000.0,0.0047
115.0,0.089,3000000000.0,0.0246
125.3,0.082,6000000000.0,0.0093
137.0,8.32e-05,509000000000000.0,2.15e-05
149.26,0.0989,6000000000.0,0.0085
158.5,2.2e-06,2.418e+17,1.76e-07
162.89,0.0611,6000000000.0,0.0073
162.89,0.0808,6000000000.0,0.0125
163.0,0.09785,3000000000.0,0.0279
166.0,0.0001,509000000000000.0,4.5e-05
170.5,4.09e-05,509000000000000.0,8.76e-06
170.5,0.0001086,373000000000000.0,1.4e-05
181.64,0.0896,6000000000.0,0.0133
197.0,0.07895,3000000000.0,0.0107
216.88,0.039,6000000000.0,0.009
216.91,0.069,3000000000.0,0.015
220.0,0.0647,3000000000.0,0.0027
256.76,0.055,3000000000.0,0.0011
259.99,1.27e-06,2.418e+17,2e-07
267.0,0.0403,3000000000.0,0.0027
272.61,0.036,6000000000.0,0.007
272.67,0.044,3000000000.0,0.007
288.55,0.035,6000000000.0,0.007
288.61,0.035,3000000000.0,0.007
293.87,2.88e-05,509000000000000.0,6.376e-06
294.0,0.0312,3000000000.0,0.0036
323.45,2.19e-05,509000000000000.0,3.64e-06
358.21,1.12e-05,509000000000000.0,4.795e-06
